timestamp,TimeUS,ThI,ABst,ThO,ThH,DAlt,Alt,BAlt,DSAlt,SAlt,TAlt,DCRt,CRt
1686415635.98040795,7034685,0.0,0.0,0.5,0.5,0.0,-0.09488087147474289,-0.15332429111003876,0.0,0.0,0.0,0,14
1686415636.08036804,7134645,0.0,0.0,0.5,0.5,0.0,-0.08825763314962387,-0.12860411405563354,0.0,0.0,0.0,0,13
1686415636.18032813,7234605,0.0,0.0,0.5,0.5,0.0,-0.08211658149957657,-0.14458067715168,0.0,0.0,0.0,0,12
1686415636.28028798,7334565,0.0,0.0,0.5,0.5,0.0,-0.07722985744476318,-0.10811224579811096,0.0,0.0,0.0,0,12
1686415636.38024807,7434525,0.0,0.0,0.5,0.5,0.0,-0.07221975177526474,-0.0999378189444542,0.0,0.0,0.0,0,11
1686415636.48020816,7534485,0.0,0.0,0.5,0.5,0.0,-0.06596165150403976,-0.10467474162578583,0.0,0.0,0.0,0,11
1686415636.58016801,7634445,0.0,0.0,0.5,0.5,0.0,-0.05970664322376251,-0.08835937827825546,0.0,0.0,0.0,0,11
1686415636.68012810,7734405,0.0,0.0,0.5,0.5,0.0,-0.05326597020030022,-0.10966836661100388,0.0,0.0,0.0,0,10
1686415636.78008795,7834365,0.0,0.0,0.5,0.5,0.0,-0.048215143382549286,-0.07200334966182709,0.0,0.0,0.0,0,10
1686415636.88004804,7934325,0.0,0.0,0.49000000953674316,0.5,0.0,-0.04334850609302521,-0.08875637501478195,0.0,0.0,0.0,0,9
1686415636.98000813,8034285,0.0,0.0,0.3137499988079071,0.5,0.0,-0.04535512253642082,-0.07991549372673035,0.0,0.0,0.0,0,-4
1686415637.07996798,8134245,0.0,0.0,0.25,0.5,0.0,-0.06628240644931793,-0.08406887948513031,0.0,0.0,0.0,0,-25
1686415637.17992806,8234205,0.0,0.0,0.25,0.5,0.0,-0.1058986559510231,-0.12202088534832001,0.0,0.0,0.0,0,-41
1686415637.27988815,8334165,0.0,0.0,0.25,0.5,0.0,-0.15778154134750366,-0.1829320788383484,0.0,0.0,0.0,0,-49
1686415637.37984800,8434125,0.0,0.0,0.25,0.5,0.0,-0.21742619574069977,-0.23561064898967743,0.0,0.0,0.0,0,-54
1686415637.47980809,8534085,0.0,0.0,0.25,0.5,0.0,-0.28128135204315186,-0.2914979159832001,0.0,0.0,0.0,0,-56
1686415637.57976794,8634045,0.0,0.0,0.25,0.5,0.0,-0.3471689820289612,-0.35681599378585815,0.0,0.0,0.0,0,-58
1686415637.67972803,8734005,0.0,0.0,0.25,0.5,0.0,-0.414264053106308,-0.4084462821483612,0.0,0.0,0.0,0,-59
1686415637.77968812,8833965,0.0,0.0,0.25,0.5,0.0,-0.4814090132713318,-0.5034415125846863,0.0,0.0,0.0,0,-60
1686415637.87964797,8933925,0.0,0.0,0.25,0.5,0.0,-0.5500354766845703,-0.5669873952865601,0.0,0.0,0.0,0,-60
1686415637.97960806,9033885,0.0,0.0,0.25,0.5,0.0,-0.6201275587081909,-0.5887492299079895,0.0,0.0,0.0,0,-61
1686415638.08040094,9134678,0.0,0.0,0.25,0.5,0.0,-0.6892766356468201,-0.6797425150871277,0.0,0.0,0.0,0,-62
1686415638.18036103,9234638,0.0,0.0,0.25,0.5,0.0,-0.7575381994247437,-0.7151865363121033,0.0,0.0,0.0,0,-62
1686415638.28032112,9334598,0.0,0.0,0.25,0.5,0.0,-0.8243621587753296,-0.7776889204978943,0.0,0.0,0.0,0,-62
1686415638.38028097,9434558,0.0,0.0,0.25,0.5,0.0,-0.8895836472511292,-0.8571332693099976,0.0,0.0,0.0,0,-63
1686415638.48024106,9534518,0.0,0.0,0.25,0.5,0.0,-0.9544768929481506,-0.9330851435661316,0.0,0.0,0.0,0,-63
1686415638.58020115,9634478,0.0,0.0,0.25,0.5,0.0,-1.020041584968567,-0.976591169834137,0.0,0.0,0.0,0,-63
1686415638.68016100,9734438,0.0,0.0,0.25,0.5,0.0,-1.0846892595291138,-1.019541621208191,0.0,0.0,0.0,0,-63
1686415638.78012109,9834398,0.0,0.0,0.25,0.5,0.0,-1.1482282876968384,-1.1107381582260132,0.0,0.0,0.0,0,-63
1686415638.88008094,9934358,0.0,0.0,0.25,0.5,0.0,-1.2117263078689575,-1.150790810585022,0.0,0.0,0.0,0,-63
1686415638.98004103,10034318,0.0,0.0,0.25,0.5,0.0,-1.2744777202606201,-1.2200597524642944,0.0,0.0,0.0,0,-63
1686415639.08000112,10134278,0.0,0.0,0.25,0.5,0.0,-1.3372178077697754,-1.3109861612319946,0.0,0.0,0.0,0,-63
1686415639.17996097,10234238,0.0,0.0,0.25,0.5,0.0,-1.4005439281463623,-1.3640234470367432,0.0,0.0,0.0,0,-63
1686415639.27992105,10334198,0.0,0.0,0.25,0.5,0.0,-1.4645824432373047,-1.4303045272827148,0.0,0.0,0.0,0,-63
1686415639.37988114,10434158,0.0,0.0,0.25,0.5,0.0,-1.5290987491607666,-1.4700294733047485,0.0,0.0,0.0,0,-63
1686415639.47984099,10534118,0.0,0.0,0.25,0.5,0.0,-1.592798113822937,-1.529686689376831,0.0,0.0,0.0,0,-63
1686415639.57980108,10634078,0.0,0.0,0.25,0.5,0.0,-1.6553733348846436,-1.6025398969650269,0.0,0.0,0.0,0,-63
1686415639.67976117,10734038,0.0,0.0,0.25,0.5,0.0,-1.7175921201705933,-1.6831672191619873,0.0,0.0,0.0,0,-63
1686415639.77972102,10833998,0.0,0.0,0.25,0.5,0.0,-1.780587911605835,-1.7409980297088623,0.0,0.0,0.0,0,-63
1686415639.87968111,10933958,0.0,0.0,0.25,0.5,0.0,-1.844143271446228,-1.7887866497039795,0.0,0.0,0.0,0,-63
1686415639.97964096,11033918,0.0,0.0,0.25,0.5,0.0,-1.9072715044021606,-1.8549354076385498,0.0,0.0,0.0,0,-63
1686415640.07960105,11133878,0.0,0.0,0.25,0.5,0.0,-1.970009446144104,-1.9093422889709473,0.0,0.0,0.0,0,-63
1686415640.18039417,11234671,0.0,0.0,0.25,0.5,0.0,-2.032642126083374,-1.9744364023208618,0.0,0.0,0.0,0,-63
1686415640.28035402,11334631,0.0,0.0,0.25,0.5,0.0,-2.0940873622894287,-2.0235650539398193,0.0,0.0,0.0,0,-63
1686415640.38031411,11434591,0.0,0.0,0.25,0.5,0.0,-2.1543707847595215,-2.1029367446899414,0.0,0.0,0.0,0,-63
1686415640.48027396,11534551,0.0,0.0,0.25,0.5,0.0,-2.214287281036377,-2.1743876934051514,0.0,0.0,0.0,0,-63
1686415640.58023405,11634511,0.0,0.0,0.25,0.5,0.0,-2.27475905418396,-2.2077176570892334,0.0,0.0,0.0,0,-63
1686415640.68019414,11734471,0.0,0.0,0.25,0.5,0.0,-2.3342080116271973,-2.260770797729492,0.0,0.0,0.0,0,-62
1686415640.78015399,11834431,0.0,0.0,0.25,0.5,0.0,-2.392908811569214,-2.3502869606018066,0.0,0.0,0.0,0,-62
1686415640.88011408,11934391,0.0,0.0,0.25,0.5,0.0,-2.4517204761505127,-2.4123637676239014,0.0,0.0,0.0,0,-62
