,TimeUS,timestamp,ThI,ABst,ThO,ThH,DAlt,Alt,BAlt,DSAlt,SAlt,TAlt,DCRt,CRt,terrain_z,sub_z,rf
0,21737135,1685893232.680048,0.0,0.0,0.5,0.5,0.0,-0.2579719126224518,-0.2658968567848205,0.0,0.0,0.0,0,-6,,,
1,21837095,1685893232.780008,0.0,0.0,0.5,0.5,0.0,-0.26364266872406,-0.2933785021305084,0.0,0.0,0.0,0,-6,,,
2,21937055,1685893232.879968,0.0,0.0,0.5,0.5,0.0,-0.2708473801612854,-0.2759127914905548,0.0,0.0,0.0,0,-6,,,
3,22037015,1685893232.979928,0.0,0.0,0.5,0.5,0.0,-0.2782864272594452,-0.2580269575119018,0.0,0.0,0.0,0,-6,,,
4,22136975,1685893233.079888,0.0,0.0,0.5,0.5,0.0,-0.2843689918518066,-0.0099210776388645,0.0,0.0,0.0,0,-6,,,
5,22236935,1685893233.179848,0.0,0.0,0.5,0.5,0.0,-0.2796274721622467,-0.0980548486113548,0.0,0.0,0.0,0,-5,,,
6,22336895,1685893233.279808,0.0,0.0,0.5,0.5,0.0,-0.2645948529243469,-0.1995583474636078,0.0,0.0,0.0,0,-3,,,
7,22436855,1685893233.379768,0.0,0.0,0.5,0.5,0.0,-0.2486440241336822,-0.1471269130706787,0.0,0.0,0.0,0,-1,,,
8,22536815,1685893233.479728,0.0,0.0,0.4975000023841858,0.5,0.0,-0.2327009588479995,-0.3480644226074219,0.0,0.0,0.0,0,0,,,
9,22636775,1685893233.579688,0.0,0.0,0.3812499940395355,0.5,0.0,-0.2241640388965606,-0.2415441572666168,0.0,0.0,0.0,0,-2,,,
10,22736735,1685893233.679648,0.0,0.0,0.25,0.5,0.0,-0.2342535555362701,-0.120932713150978,0.0,0.0,0.0,0,-23,,,
11,22836695,1685893233.779608,0.0,0.0,0.25,0.5,0.0,-0.2610836923122406,-0.0839987248182296,0.0,0.0,0.0,0,-39,,,
12,22936655,1685893233.879568,0.0,0.0,0.25,0.5,0.0,-0.2938959300518036,-0.4853834509849548,0.0,0.0,0.0,0,-48,,,
13,23036615,1685893233.979528,0.0,0.0,0.25,0.5,0.0,-0.3417811989784241,-0.4423078894615173,0.0,0.0,0.0,0,-52,,,
14,23136575,1685893234.079488,0.0,0.0,0.25,0.5,0.0,-0.4030975997447967,-0.3177806138992309,0.0,0.0,0.0,0,-55,,,
15,23236535,1685893234.179448,0.0,0.0,0.25,0.5,0.0,-0.4641389846801758,-0.3355006277561188,0.0,0.0,0.0,0,-57,,,
16,23336495,1685893234.279408,0.0,0.0,0.25,0.5,0.0,-0.5185779333114624,-0.3461152613162994,0.0,0.0,0.0,0,-57,,,
17,23436455,1685893234.379368,0.0,0.0,0.25,0.5,0.0,-0.5658276677131653,-0.7504328489303589,0.0,0.0,0.0,0,-56,,,
18,23536415,1685893234.479328,0.0,0.0,0.25,0.5,0.0,-0.6234327554702759,-0.8277009129524231,0.0,0.0,0.0,0,-56,,,
19,23636375,1685893234.579288,0.0,0.0,0.25,0.5,0.0,-0.6941915154457092,-0.8303101062774658,0.0,0.0,0.0,0,-57,,,
20,23736335,1685893234.679248,0.0,0.0,0.25,0.5,0.0,-0.7717669010162354,-0.7530938982963562,0.0,0.0,0.0,0,-59,,,
21,23837128,1685893234.7800407,0.0,0.0,0.25,0.5,0.0,-0.8465657830238342,-0.8931704163551331,0.0,0.0,0.0,0,-60,,,
22,23937088,1685893234.880001,0.0,0.0,0.25,0.5,0.0,-0.9204861521720886,-0.9446141719818116,0.0,0.0,0.0,0,-61,,,
23,24037048,1685893234.9799612,0.0,0.0,0.25,0.5,0.0,-0.9936492443084716,-0.9995846748352052,0.0,0.0,0.0,0,-61,,,
24,24137008,1685893235.079921,0.0,0.0,0.25,0.5,0.0,-1.0656827688217163,-0.9163974523544312,0.0,0.0,0.0,0,-62,,,
25,24236968,1685893235.179881,0.0,0.0,0.25,0.5,0.0,-1.130787014961243,-1.0358322858810425,0.0,0.0,0.0,0,-62,,,
26,24336928,1685893235.2798407,0.0,0.0,0.25,0.5,0.0,-1.1894882917404177,-1.3702049255371094,0.0,0.0,0.0,0,-61,,,
27,24436888,1685893235.379801,0.0,0.0,0.25,0.5,0.0,-1.2580037117004397,-1.1195623874664309,0.0,0.0,0.0,0,-62,,,
28,24536848,1685893235.4797611,0.0,0.0,0.25,0.5,0.0,-1.3235732316970823,-1.3059254884719849,0.0,0.0,0.0,0,-62,,,
29,24636808,1685893235.5797207,0.0,0.0,0.25,0.5,0.0,-1.3865149021148682,-1.227723240852356,0.0,0.0,0.0,0,-62,,,
30,24736768,1685893235.679681,0.0,0.0,0.25,0.5,0.0,-1.445273518562317,-1.5054033994674685,0.0,0.0,0.0,0,-62,,,
31,24836728,1685893235.7796412,0.0,0.0,0.25,0.5,0.0,-1.505639910697937,-1.440626621246338,0.0,0.0,0.0,0,-61,,,
32,24936688,1685893235.879601,0.0,0.0,0.25,0.5,0.0,-1.567286491394043,-1.4346174001693726,0.0,0.0,0.0,0,-61,,,
33,25036648,1685893235.979561,0.0,0.0,0.25,0.5,0.0,-1.6238389015197754,-1.7943646907806396,0.0,0.0,0.0,0,-61,,,
34,25136608,1685893236.0795207,0.0,0.0,0.25,0.5,0.0,-1.6899250745773315,-1.7924139499664309,0.0,0.0,0.0,0,-61,,,
35,25236568,1685893236.179481,0.0,0.0,0.25,0.5,0.0,-1.7629395723342896,-1.64081871509552,0.0,0.0,0.0,0,-62,,,
36,25336528,1685893236.279441,0.0,0.0,0.25,0.5,0.0,-1.8322824239730835,-1.8941349983215328,0.0,0.0,0.0,0,-63,,,
37,25436488,1685893236.3794007,0.0,0.0,0.25,0.5,0.0,-1.901519775390625,-1.8830325603485107,0.0,0.0,0.0,0,-63,,,
38,25536448,1685893236.479361,0.0,0.0,0.25,0.5,0.0,-1.9715834856033323,-2.017287254333496,0.0,0.0,0.0,0,-64,,,
39,25636408,1685893236.5793211,0.0,0.0,0.25,0.5,0.0,-2.0431878566741943,-2.1192243099212646,0.0,0.0,0.0,0,-64,,,
40,25736368,1685893236.679281,0.0,0.0,0.25,0.5,0.0,-2.1198792457580566,-1.8721779584884644,0.0,0.0,0.0,0,-65,,,
