TimeUS,terrain_z,sub_z,rf
50838000,-20.0,-9.644745677158971,10.260254322841028
50939000,-20.0,-9.63505862987207,10.26994137012793
51040000,-20.0,-9.62531933337158,10.279680666628419
51142000,-20.0,-9.615428610299857,10.289571389700143
51242000,-20.0,-9.60461415403223,10.300385845967769
51344000,-20.0,-9.593611567074579,10.31138843292542
51444000,-20.0,-9.582951954261214,10.322048045738786
51545000,-20.0,-9.57243001612337,10.33256998387663
51646000,-20.0,-9.561963872271352,10.343036127728647
51747000,-20.0,-9.554164718570908,10.350835281429092
51850000,-20.0,-9.546155412975853,10.358844587024146
51950000,-20.0,-9.53796196452095,10.36703803547905
52051000,-20.0,-9.525922588881226,10.379077411118773
52152000,-20.0,-9.514018865844534,10.390981134155465
52253000,-20.0,-9.505301548939755,10.399698451060244
52355000,-20.0,-9.496414819303935,10.408585180696065
52455000,-20.0,-9.487503418372897,10.417496581627102
52556000,-20.0,-9.476700900597834,10.428299099402166
52660000,-20.0,-9.465829956898402,10.439170043101598
52760000,-20.0,-9.458071589159646,10.446928410840354
52864000,-20.0,-9.450073698549485,10.454926301450515
52964000,-20.0,-9.44191766219809,10.463082337801909
53064000,-20.0,-9.430752444923037,10.474247555076962
53168000,-20.0,-9.419712372021532,10.485287627978467
53268000,-20.0,-9.41205642969965,10.49294357030035
53372000,-20.0,-9.404152499758858,10.500847500241141
53472000,-20.0,-9.395895600361698,10.509104399638302
53573000,-20.0,-9.383819815357581,10.521180184642418
53677000,-20.0,-9.371865978565868,10.533134021434131
53777000,-20.0,-9.363831157509816,10.541168842490183
53879000,-20.0,-9.35566981481607,10.54933018518393
53979000,-20.0,-9.347025992515077,10.557974007484923
54080000,-20.0,-9.334052259702787,10.570947740297212
54182000,-20.0,-9.321202381278713,10.583797618721286
54282000,-20.0,-9.311302762681896,10.593697237318104
54384000,-20.0,-9.301244338374914,10.603755661625085
54484000,-20.0,-9.29100525547372,10.613994744526279
54585000,-20.0,-9.277094286203642,10.627905713796357
54687000,-20.0,-9.263514866174972,10.641485133825027
54787000,-20.0,-9.256510609589425,10.648489390410575
54889000,-20.0,-9.249380775929307,10.655619224070692
54990000,-20.0,-9.242146397094118,10.662853602905882
55092000,-20.0,-9.23208703822902,10.67291296177098
55193000,-20.0,-9.222596898571194,10.682403101428806
55293000,-20.0,-9.21614817914929,10.68885182085071
55395000,-20.0,-9.209593243577991,10.695406756422008
55495000,-20.0,-9.202648893855748,10.702351106144251
55597000,-20.0,-9.190524307177254,10.714475692822745
55698000,-20.0,-9.178567442714833,10.726432557285166
55798000,-20.0,-9.166218423247711,10.738781576752288
55900000,-20.0,-9.153988194369807,10.751011805630192
56001000,-20.0,-9.145341644339823,10.759658355660177
56111000,-20.0,-9.135877571992031,10.769122428007968
56212000,-20.0,-9.126533101917984,10.778466898082016
56312000,-20.0,-9.113912116135058,10.791087883864941
56416000,-20.0,-9.10178033674414,10.80321966325586
56516000,-20.0,-9.093672562745251,10.811327437254748
56628000,-20.0,-9.08463698448737,10.82036301551263
56729000,-20.0,-9.077412294749754,10.827587705250245
56829000,-20.0,-9.072462898049611,10.832537101950388
56937000,-20.0,-9.069197906372388,10.835802093627612
57038000,-20.0,-9.071169021148156,10.833830978851843
57143000,-20.0,-9.073219188321564,10.831780811678435
57243000,-20.0,-9.075738186085681,10.829261813914318
57347000,-20.0,-9.07975591765338,10.82524408234662
57452000,-20.0,-9.083679042027503,10.821320957972496
57553000,-20.0,-9.087019965887206,10.817980034112793
57658000,-20.0,-9.090521281457585,10.814478718542414
57758000,-20.0,-9.094157474830373,10.810842525169626
57862000,-20.0,-9.09892641390072,10.806073586099279
57962000,-20.0,-9.103343476043703,10.801656523956296
58063000,-20.0,-9.106966420953334,10.798033579046665
58166000,-20.0,-9.110690831756125,10.794309168243874
58267000,-20.0,-9.115134184118924,10.789865815881075
58370000,-20.0,-9.123922911258774,10.781077088741226
58470000,-20.0,-9.13235737298559,10.77264262701441
58571000,-20.0,-9.140182255075397,10.764817744924603
58672000,-20.0,-9.147698658677683,10.757301341322316
58773000,-20.0,-9.151796405687872,10.753203594312128
